release_year,number_of_titles,titles,highest_rating,formatted_strings,cast_list
1997,1,"Power Rangers Turbo",TV-Y7,"the "Power Rangers Turbo" was released in 1997 and was added on January 1, 2016","Johnny Yong Bosch, Nakia Burrise, Blake Foster, Jason David Frank, Catherine Sutherland, Carol Hoyt, Jason Narvy, Paul Schrier, Gregg Bullock, Hilary Shepard, Tracy Lynn Cruz, Patricia Ja Lee, Roger Velasco, Selwyn Ward, Donene Kistler"
1998,1,"Power Rangers in Space",TV-Y7,"the "Power Rangers in Space" was released in 1998 and was added on January 1, 2016","Tracy Lynn Cruz, Patricia Ja Lee, Christopher Khayman Lee, Justin Nimmo, Roger Velasco, Selwyn Ward, Melody Perkins, Paul Schrier, Jason Narvy, Mioko Fujiwara, Soichiro Hoshi, Yuji Kishimoto, Sanae Kobayashi, Tsuyoshi Takishita, Lex Lang"
2009,1,G-Force,PG,"the "G-Force" was released in 2009 and was added on March 15, 2019","Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner, Tyler Patrick Jones, Piper Mackenzie Harris, Gabriel Casseus, Jack Conley, Niecy Nash, Justin Mentell, Nicolas Cage, Sam Rockwell, Jon Favreau, Penélope Cruz, Steve Buscemi, Tracy Morgan"
2010,1,"Death at a Funeral",R,"the "Death at a Funeral" was released in 2010 and was added on August 1, 2020","Chris Rock, Martin Lawrence, Tracy Morgan, Danny Glover, James Marsden, Luke Wilson, Zoe Saldana, Regina Hall, Columbus Short, Peter Dinklage, Kevin Hart, Loretta Devine, Regine Nehy, Keith David, Ron Glass"
2011,1,"Scare Tactics",TV-MA,"the "Scare Tactics" was released in 2011 and was added on June 30, 2019","Tracy Morgan, Lauren Ash"
2012,1,"30 Rock",TV-14,"the "30 Rock" was released in 2012 and was added on August 1, 2021","Tina Fey, Alec Baldwin, Tracy Morgan, Jane Krakowski, Jack McBrayer, Scott Adsit, Judah Friedlander, Katrina Bowden, Keith Powell, Lonny Ross, John Lutz, Kevin Brown, Grizz Chapman, Maulik Pancholy"
2013,1,"Alpha and Omega 2: A Howl-iday Adventure",TV-G,"the "Alpha and Omega 2: A Howl-iday Adventure" was released in 2013 and was added on October 1, 2019","Ben Diskin, Kate Higgins, Blackie Rose, Lindsay Torrance, Liza West, Tracy Pfau, Bill Lader, Meryl Leigh, Shaun Gerardo"
2016,1,"Skin Wars",TV-14,"the "Skin Wars" was released in 2016 and was added on October 1, 2016","Rebecca Romijn, RuPaul, Robin Slonina, Craig Tracy"
2017,6,"Bates Motel; Def Comedy Jam 25; Lady Bird; The Clapper; The Lamb; The Lovers",TV-MA,"the "Bates Motel" was released in 2017 and was added on February 20, 2018; the "Def Comedy Jam 25" was released in 2017 and was added on September 26, 2017; the "Lady Bird" was released in 2017 and was added on June 3, 2020; the "The Clapper" was released in 2017 and was added on May 1, 2018; the "The Lamb" was released in 2017 and was added on June 4, 2018; the "The Lovers" was released in 2017 and was added on November 5, 2019","Aidan Gillen, Melora Walters, Tyler Ross, Jessica Sula, Lesley Fera, Tracy Letts, Debra Winger; Dave Chappelle, Steve Harvey, Cedric the Entertainer, Martin Lawrence, Tiffany Haddish, Katt Williams, Craig Robinson, D.L. Hughley, Eddie Griffin, J.B. Smoove, Joe Torry, Kid Capri, Mike Epps, Sheryl Underwood, Tracy Morgan, Deon Cole; Ed Helms, Amanda Seyfried, Tracy Morgan, Brenda Vaccaro, P.J. Byrne, Leah Remini, Mickey Gooch Jr., Adam Levine, Russell Peters, Alan Thicke; Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges, Timothée Chalamet, Beanie Feldstein, Lois Smith, Stephen Henderson, Odeya Rush, Jordan Rodrigues; Steven Yeun, Keegan-Michael Key, Aidy Bryant, Gina Rodriguez, Zachary Levi, Christopher Plummer, Ving Rhames, Gabriel Iglesias, Kelly Clarkson, Anthony Anderson, Patricia Heaton, Kris Kristofferson, Kristin Chenoweth, Mariah Carey, Oprah Winfrey, Tyler Perry, Tracy Morgan; Vera Farmiga, Freddie Highmore, Max Thieriot, Olivia Cooke, Nicola Peltz, Nestor Carbonell, Mike Vogel, Keegan Connor "
2019,1,Scream,TV-MA,"the "Scream" was released in 2019 and was added on July 6, 2021","Willa Fitzgerald, Bex Taylor-Klaus, John Karna, Amadeus Serafini, Connor Weil, Carlson Young, Jason Wiles, Tracy Middendorf, Tom Maden, Bobby Campo, Santiago Segura, Mike Vaughn"
2020,1,"The Magicians",TV-MA,"the "The Magicians" was released in 2020 and was added on January 15, 2021","Jason Ralph, Arjun Gupta, Hale Appleman, Stella Maeve, Summer Bishil, Olivia Taylor Dudley, Jade Tailor, Rick Worthy, Mackenzie Astin, Kacey Rohl, Charles Mesure, Keegan Connor Tracy, Trevor Einhorn"
